team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability
AJ Auxerre,0.00063,0.00242,0.00517,0.00965,0.01535,0.024,0.03377,0.04675,0.06271,0.07854,0.09542,0.10581,0.1113,0.11166,0.10276,0.08708,0.06782,0.03916
AS Monaco,0.1662,0.21147,0.16982,0.12936,0.09853,0.07258,0.05319,0.03746,0.02498,0.01604,0.00932,0.00534,0.00298,0.00164,0.0007,0.00025,9e-05,3e-05
Angers SCO,9e-05,0.0003,0.00103,0.002,0.00389,0.00723,0.0119,0.01863,0.02914,0.04441,0.05952,0.07872,0.09885,0.11951,0.13896,0.15056,0.14079,0.09448
Estac Troyes,6e-05,0.00031,0.0007,0.00133,0.0024,0.00379,0.00615,0.00968,0.01498,0.02151,0.02998,0.04212,0.0551,0.07163,0.09682,0.12991,0.1887,0.32484
FC Lorient,0.00133,0.0042,0.00861,0.01487,0.02298,0.03223,0.04419,0.05825,0.07411,0.08956,0.10149,0.10509,0.1047,0.09768,0.08741,0.07247,0.05272,0.02812
Havre Athletic Club,2e-05,0.0001,0.00044,0.00096,0.00215,0.00401,0.00691,0.01146,0.01852,0.0285,0.04237,0.05887,0.07766,0.10225,0.12833,0.15736,0.18312,0.17697
LOSC Lille,0.07176,0.12913,0.14039,0.13539,0.12106,0.10372,0.08603,0.06926,0.05132,0.03529,0.02358,0.01484,0.009,0.0051,0.00248,0.00118,0.00037,8e-05
Le Mans FC,0.00014,0.00052,0.00108,0.00202,0.00384,0.00553,0.00849,0.01302,0.019,0.02776,0.03857,0.051,0.06719,0.0846,0.10872,0.13996,0.1858,0.24277
OGC Nice,0.00038,0.00154,0.0037,0.00721,0.01228,0.01991,0.0291,0.04274,0.05789,0.07669,0.09301,0.10672,0.11349,0.11519,0.10874,0.09511,0.07369,0.04262
Olympique Lyonnais,0.10232,0.15404,0.15478,0.13842,0.11711,0.09487,0.07438,0.05642,0.04047,0.02711,0.01758,0.01028,0.00592,0.00338,0.00173,0.00083,0.00028,7e-05
Olympique de Marseille,0.01404,0.03827,0.06228,0.08188,0.09733,0.10693,0.11047,0.10778,0.09738,0.08151,0.06354,0.04847,0.03507,0.0239,0.01548,0.00934,0.00462,0.00172
Paris FC,0.04315,0.07473,0.09488,0.10315,0.10743,0.10551,0.09966,0.09057,0.0771,0.06245,0.04707,0.03465,0.02374,0.01615,0.01037,0.00556,0.00289,0.00093
Paris Saint-Germain,0.52788,0.21827,0.1109,0.06085,0.03512,0.02097,0.01183,0.00685,0.00365,0.00181,0.00103,0.0005,0.00023,8e-05,3e-05,1e-05,1e-05,0.0
RC Lens,0.0249,0.05631,0.08275,0.10196,0.11066,0.11398,0.11126,0.09993,0.08577,0.06783,0.05046,0.03545,0.02493,0.01583,0.00954,0.00521,0.0024,0.00082
RC Strasbourg Alsace,0.01495,0.03668,0.0573,0.07661,0.09141,0.10344,0.11032,0.10767,0.10035,0.08454,0.06758,0.05145,0.0377,0.02635,0.01698,0.01012,0.00488,0.00166
Stade Brestois 29,0.00054,0.00247,0.00564,0.01104,0.01807,0.02622,0.03788,0.05283,0.06933,0.08698,0.10126,0.11,0.11164,0.1066,0.0947,0.07907,0.05658,0.02914
Stade Rennais FC,0.02996,0.06372,0.08889,0.10336,0.10981,0.11244,0.10657,0.09732,0.08258,0.06562,0.04905,0.03487,0.02365,0.01507,0.0093,0.00513,0.00204,0.00062
Toulouse FC,0.00162,0.00553,0.01165,0.01995,0.03058,0.04264,0.0579,0.07338,0.09072,0.10386,0.10918,0.10582,0.09686,0.08338,0.06693,0.05085,0.0332,0.01597
