team,finish_1_probability,finish_2_probability,finish_3_probability,finish_4_probability,finish_5_probability,finish_6_probability,finish_7_probability,finish_8_probability,finish_9_probability,finish_10_probability,finish_11_probability,finish_12_probability,finish_13_probability,finish_14_probability,finish_15_probability,finish_16_probability,finish_17_probability,finish_18_probability,finish_19_probability,finish_20_probability
Atalanta,0.06554,0.11346,0.13583,0.14131,0.13594,0.12259,0.09815,0.07265,0.04719,0.02821,0.01677,0.01036,0.00562,0.00324,0.00163,0.00088,0.00038,0.00018,6e-05,1e-05
Bologna,0.00123,0.00446,0.00997,0.01888,0.0316,0.04882,0.07164,0.09691,0.11517,0.11698,0.10695,0.09368,0.07989,0.06409,0.05028,0.03703,0.02558,0.01646,0.00796,0.00243
Cagliari,0.00012,0.00059,0.00164,0.00378,0.00726,0.01344,0.02325,0.03888,0.05695,0.07374,0.0892,0.09935,0.10624,0.10545,0.10034,0.09239,0.07794,0.05934,0.03641,0.01369
Como,0.08772,0.13887,0.14879,0.14444,0.13054,0.10888,0.08514,0.06045,0.03859,0.02401,0.01412,0.0082,0.00481,0.00258,0.00146,0.0008,0.00039,0.00014,5e-05,0.0
Fiorentina,0.00026,0.00106,0.00276,0.00619,0.01135,0.02011,0.03362,0.05167,0.0723,0.08947,0.10171,0.10563,0.10334,0.09755,0.08775,0.07572,0.06063,0.04412,0.02564,0.0091
Frosinone,0.00092,0.00177,0.00294,0.00413,0.00607,0.00859,0.01251,0.01645,0.02191,0.02703,0.03223,0.03791,0.04452,0.05188,0.06223,0.07514,0.0935,0.12668,0.17213,0.20147
Genoa,7e-05,0.0005,0.00101,0.00241,0.00511,0.00971,0.01844,0.03054,0.04776,0.06492,0.08016,0.09182,0.1014,0.10668,0.10627,0.10156,0.09121,0.07266,0.04781,0.01997
Internazionale,0.50728,0.21464,0.11652,0.06864,0.04172,0.02483,0.01382,0.0069,0.0031,0.0015,0.0006,0.00028,8e-05,6e-05,1e-05,0.0,1e-05,0.0,0.0,0.0
Juventus,0.08072,0.13194,0.14772,0.14561,0.13292,0.11418,0.08953,0.06191,0.03996,0.02389,0.01398,0.00802,0.00484,0.00242,0.00136,0.00054,0.00027,0.00012,4e-05,1e-05
Lazio,0.00752,0.02079,0.03597,0.05446,0.07624,0.09901,0.12164,0.13442,0.11879,0.09762,0.07471,0.05447,0.0386,0.02611,0.01812,0.01058,0.00634,0.0031,0.00122,0.0003
Lecce,0.0,3e-05,0.00011,0.00025,0.00087,0.00164,0.00387,0.00819,0.01444,0.02381,0.03502,0.04894,0.0632,0.08262,0.10293,0.12734,0.14675,0.15248,0.12562,0.06188
Milan,0.03139,0.06701,0.0922,0.11266,0.1255,0.13259,0.1267,0.10169,0.07402,0.05106,0.0331,0.02121,0.01327,0.0082,0.00474,0.00268,0.00128,0.0005,0.00016,5e-05
Monza,0.00047,0.00125,0.00196,0.003,0.00435,0.0059,0.0083,0.01196,0.01709,0.02151,0.02528,0.03047,0.0366,0.04372,0.05315,0.06507,0.08325,0.11874,0.18401,0.28394
Napoli,0.04326,0.08587,0.11405,0.12997,0.13664,0.13168,0.11437,0.08614,0.05973,0.03874,0.02433,0.01539,0.009,0.00528,0.00289,0.00154,0.00066,0.00033,0.00011,2e-05
Parma,2e-05,5e-05,0.00023,0.00054,0.00131,0.00295,0.00569,0.01053,0.01843,0.02856,0.0407,0.05384,0.06864,0.08524,0.10436,0.12009,0.13518,0.14006,0.11836,0.06521
Roma,0.17153,0.21102,0.17379,0.13619,0.10573,0.07753,0.0523,0.03276,0.01846,0.01006,0.00526,0.00267,0.00148,0.00069,0.00032,0.00016,5e-05,2e-05,0.0,0.0
Sassuolo,0.00061,0.00241,0.0055,0.01013,0.01756,0.02835,0.04388,0.06286,0.08307,0.09485,0.10114,0.10135,0.09741,0.08813,0.07766,0.06527,0.05258,0.03675,0.02228,0.0082
Torino,3e-05,0.00022,0.00059,0.00158,0.00351,0.00676,0.01326,0.02326,0.0372,0.05216,0.06904,0.08392,0.09574,0.10635,0.11161,0.11126,0.10437,0.08846,0.06229,0.0284
Udinese,0.00081,0.00292,0.00674,0.01324,0.02212,0.03694,0.05602,0.08025,0.10068,0.11212,0.112,0.1039,0.0918,0.07793,0.06269,0.04852,0.03498,0.02223,0.01086,0.00328
Venezia,0.0005,0.00113,0.00169,0.00258,0.00367,0.0055,0.00787,0.0116,0.01516,0.01979,0.02371,0.02861,0.03351,0.04178,0.0502,0.06342,0.08464,0.1176,0.185,0.30203
