team,title_probability_before,top_4_probability_before,relegation_probability_before,expected_points_before,title_probability_after,top_4_probability_after,relegation_probability_after,expected_points_after,title_probability_change,top_4_probability_change,relegation_probability_change,expected_points_change
Internazionale,0.56972,0.94662,0.0,83.72,0.56972,0.94662,0.0,83.72,0.0,0.0,0.0,0.0
Roma,0.2282,0.82411,1e-05,77.56,0.2282,0.82411,1e-05,77.56,0.0,0.0,0.0,0.0
Monza,0.0,0.00036,0.59444,31.37,0.0,0.00036,0.59444,31.37,0.0,0.0,0.0,0.0
Lecce,0.0,0.00019,0.38836,35.8,0.0,0.00019,0.38836,35.8,0.0,0.0,0.0,0.0
Frosinone,3e-05,0.00179,0.34276,37.56,3e-05,0.00179,0.34276,37.56,0.0,0.0,0.0,0.0
Parma,1e-05,0.00076,0.26952,38.42,1e-05,0.00076,0.26952,38.42,0.0,0.0,0.0,0.0
Genoa,0.0,0.00061,0.27216,38.42,0.0,0.00061,0.27216,38.42,0.0,0.0,0.0,0.0
Torino,3e-05,0.00276,0.12978,43.09,3e-05,0.00276,0.12978,43.09,0.0,0.0,0.0,0.0
Udinese,8e-05,0.00646,0.07638,45.9,8e-05,0.00646,0.07638,45.9,0.0,0.0,0.0,0.0
Fiorentina,0.00014,0.00825,0.06588,46.76,0.00014,0.00825,0.06588,46.76,0.0,0.0,0.0,0.0
Sassuolo,0.00038,0.01746,0.04813,48.82,0.00038,0.01746,0.04813,48.82,0.0,0.0,0.0,0.0
Bologna,0.00021,0.0142,0.04306,48.83,0.00021,0.0142,0.04306,48.83,0.0,0.0,0.0,0.0
Cagliari,0.00056,0.0277,0.01829,51.92,0.00056,0.0277,0.01829,51.92,0.0,0.0,0.0,0.0
Lazio,0.01224,0.20113,0.00087,62.36,0.01224,0.20113,0.00087,62.36,0.0,0.0,0.0,0.0
Atalanta,0.01114,0.21378,0.00108,62.6,0.01114,0.21378,0.00108,62.6,0.0,0.0,0.0,0.0
Napoli,0.02512,0.35294,0.00025,66.26,0.02512,0.35294,0.00025,66.26,0.0,0.0,0.0,0.0
Milan,0.0336,0.37765,0.00022,66.85,0.0336,0.37765,0.00022,66.85,0.0,0.0,0.0,0.0
Juventus,0.05376,0.49094,0.0001,69.36,0.05376,0.49094,0.0001,69.36,0.0,0.0,0.0,0.0
Como,0.06478,0.51221,8e-05,69.83,0.06478,0.51221,8e-05,69.83,0.0,0.0,0.0,0.0
Venezia,0.0,9e-05,0.74863,26.98,0.0,9e-05,0.74863,26.98,0.0,0.0,0.0,0.0
