team,season,preseason_elo,clubelo_rating_if_available,spi_rating_if_available,attack_rating,defense_rating,home_attack_rating,home_defense_rating,away_attack_rating,away_defense_rating,promoted_team_flag,previous_season_league,previous_season_finish,previous_season_points,previous_season_goal_difference,previous_season_xg_difference,squad_market_value,wage_bill_proxy,manager,manager_start_date,manager_tenure_days,source_name,source_timestamp,data_quality_score,notes
AFC Bournemouth,2026-27,1398.5,,,0.3094,0.0209,0.3963,0.0209,0.3094,-0.066,False,Premier League,6,57,4,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Arsenal,2026-27,1529.5,,,0.5629,0.5353,0.6498,0.5353,0.5629,0.4484,False,Premier League,1,85,44,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Aston Villa,2026-27,1402.3,,,0.3608,0.0765,0.4477,0.0765,0.3608,-0.0104,False,Premier League,4,65,7,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Brentford,2026-27,1368.0,,,0.3535,0.0188,0.4404,0.0188,0.3535,-0.0681,False,Premier League,9,53,3,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Brighton & Hove Albion,2026-27,1373.8,,,0.3137,0.0621,0.4006,0.0621,0.3137,-0.0248,False,Premier League,8,53,6,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Chelsea,2026-27,1370.4,,,0.3899,0.0964,0.4768,0.0964,0.3899,0.0095,False,Premier League,10,52,6,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Coventry City,2026-27,1500.0,,,-0.1758,0.1758,-0.0889,0.1758,-0.1758,0.0889,True,Championship,,,,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.55,"Promoted club; previous season was Championship, not Premier League -- no verified Championship results source connected, so previous_season_* Championship fields are blank. Elo/attack/defense seeded using the empirical promoted-team offset derived from 33 real historical promotion events (points_below_league_avg=-17.6). clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml)."
Crystal Palace,2026-27,1329.2,,,0.1361,0.0573,0.2229,0.0573,0.1361,-0.0295,False,Premier League,15,45,-10,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Everton,2026-27,1337.4,,,0.0725,0.1196,0.1593,0.1196,0.0725,0.0327,False,Premier League,13,49,-3,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
Fulham,2026-27,1350.5,,,0.1951,0.0514,0.282,0.0514,0.1951,-0.0355,False,Premier League,11,52,-4,,,,,,,in-house Elo + Dixon-Coles fit on football-data.co.uk historical results,2026-08-17T22:48:42+00:00,0.75,clubelo_rating_if_available/spi_rating_if_available/squad_market_value/wage_bill_proxy/manager fields unavailable -- no connected source (see data_sources.yaml).
