season,match_id,date,home_team,away_team,home_goals,away_goals,result,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_ppda,away_ppda,home_big_chances,away_big_chances,home_set_piece_xg,away_set_piece_xg,home_red_cards,away_red_cards,referee,stadium,attendance,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
2026-27,BUNDESLIGA2627_MW01_001_FCBayernMünchen_VfBStuttgart,2026-08-28,FC Bayern München,VfB Stuttgart,5,1,home_win,,,,,,,,,,,,,,,,,,Allianz Arena,,football-data.co.uk,,2026-09-16T20:09:03+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,BUNDESLIGA2627_MW01_002_SVElversberg_Bayer04Leverkusen,2026-08-29,SV Elversberg,Bayer 04 Leverkusen,3,2,home_win,,,,,,,,,,,,,,,,,,URSAPHARM-Arena,,football-data.co.uk,,2026-09-16T20:09:03+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,BUNDESLIGA2627_MW01_003_1.FCKöln_TSGHoffenheim,2026-08-29,1. FC Köln,TSG Hoffenheim,3,2,home_win,,,,,,,,,,,,,,,,,,RheinEnergieSTADION,,football-data.co.uk,,2026-09-16T20:09:03+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,BUNDESLIGA2627_MW01_005_1.FSVMainz05_SCPaderborn07,2026-08-29,1. FSV Mainz 05,SC Paderborn 07,0,0,draw,,,,,,,,,,,,,,,,,,MEWA ARENA,,football-data.co.uk,,2026-09-16T20:09:03+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,BUNDESLIGA2627_MW01_008_RBLeipzig_BorussiaMönchengladbach,2026-08-29,RB Leipzig,Borussia Mönchengladbach,3,0,home_win,,,,,,,,,,,,,,,,,,Red Bull Arena,,football-data.co.uk,,2026-09-16T20:09:03+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,BUNDESLIGA2627_MW01_004_1.FCUnionBerlin_EintrachtFrankfurt,2026-08-29,1. FC Union Berlin,Eintracht Frankfurt,3,3,draw,,,,,,,,,,,,,,,,,,An der Alten Försterei,,football-data.co.uk,,2026-09-16T20:09:03+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,BUNDESLIGA2627_MW01_009_BorussiaDortmund_HamburgerSV,2026-08-29,Borussia Dortmund,Hamburger SV,2,0,home_win,,,,,,,,,,,,,,,,,,SIGNAL IDUNA PARK,,football-data.co.uk,,2026-09-16T20:09:03+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,BUNDESLIGA2627_MW01_007_Sport-ClubFreiburg_SVWerderBremen,2026-08-30,Sport-Club Freiburg,SV Werder Bremen,4,1,home_win,,,,,,,,,,,,,,,,,,Europa-Park Stadion,,football-data.co.uk,,2026-09-16T20:09:03+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,BUNDESLIGA2627_MW01_006_FCAugsburg_FCSchalke04,2026-08-30,FC Augsburg,FC Schalke 04,3,0,home_win,,,,,,,,,,,,,,,,,,WWK ARENA,,football-data.co.uk,,2026-09-16T20:09:03+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,BUNDESLIGA2627_MW02_018_VfBStuttgart_1.FCKöln,2026-09-04,VfB Stuttgart,1. FC Köln,4,1,home_win,,,,,,,,,,,,,,,,,,MHPArena,,football-data.co.uk,,2026-09-16T20:09:03+00:00,True,completed,Locked by src/update_after_matchweek.py
