match_id,home_team,away_team,bookmaker,home_odds,draw_odds,away_odds,home_implied_probability_raw,draw_implied_probability_raw,away_implied_probability_raw,home_implied_probability_no_vig,draw_implied_probability_no_vig,away_implied_probability_no_vig,odds_timestamp,source_name,source_url_or_page_title,is_example,is_real_data,data_status,collection_date,notes
EPL2627_MW01_001_Arsenal_CoventryCity,Arsenal,Coventry City,DraftKings Sportsbook,-750,+700,+1400,0.8824,0.125,0.0667,0.8215,0.1164,0.0621,2026-08-19T00:00:00+00:00,ESPN (DraftKings Sportsbook),https://www.espn.com/soccer/scoreboard/_/league/eng.1/date/20260821,False,True,real_snapshot,2026-08-19,"Real single-source snapshot (manually entered, one-time capture on 2026-08-19, 2-3 days before kickoff -- not confirmed to be the literal closing line, since the season had not yet started at collection time). Source: ESPN odds pages (DraftKings Sportsbook), one page per fixture. De-vigged by normalizing the three raw implied probabilities to sum to 1.0."
EPL2627_MW01_002_HullCity_ManchesterUnited,Hull City,Manchester United,DraftKings Sportsbook,+700,+400,-260,0.125,0.2,0.7222,0.1194,0.191,0.6897,2026-08-19T00:00:00+00:00,ESPN (DraftKings Sportsbook),https://www.espn.com/soccer/scoreboard/_/league/eng.1/date/20260821,False,True,real_snapshot,2026-08-19,"Real single-source snapshot (manually entered, one-time capture on 2026-08-19, 2-3 days before kickoff -- not confirmed to be the literal closing line, since the season had not yet started at collection time). Source: ESPN odds pages (DraftKings Sportsbook), one page per fixture. De-vigged by normalizing the three raw implied probabilities to sum to 1.0."
EPL2627_MW01_003_Everton_CrystalPalace,Everton,Crystal Palace,DraftKings Sportsbook,+100,+250,+230,0.5,0.2857,0.303,0.4592,0.2624,0.2783,2026-08-19T00:00:00+00:00,ESPN (DraftKings Sportsbook),https://www.espn.com/soccer/scoreboard/_/league/eng.1/date/20260821,False,True,real_snapshot,2026-08-19,"Real single-source snapshot (manually entered, one-time capture on 2026-08-19, 2-3 days before kickoff -- not confirmed to be the literal closing line, since the season had not yet started at collection time). Source: ESPN odds pages (DraftKings Sportsbook), one page per fixture. De-vigged by normalizing the three raw implied probabilities to sum to 1.0."
EPL2627_MW01_004_IpswichTown_Sunderland,Ipswich Town,Sunderland,DraftKings Sportsbook,+170,+225,+160,0.3704,0.3077,0.3846,0.3485,0.2895,0.3619,2026-08-19T00:00:00+00:00,ESPN (DraftKings Sportsbook),https://www.espn.com/soccer/scoreboard/_/league/eng.1/date/20260821,False,True,real_snapshot,2026-08-19,"Real single-source snapshot (manually entered, one-time capture on 2026-08-19, 2-3 days before kickoff -- not confirmed to be the literal closing line, since the season had not yet started at collection time). Source: ESPN odds pages (DraftKings Sportsbook), one page per fixture. De-vigged by normalizing the three raw implied probabilities to sum to 1.0."
EPL2627_MW01_005_NottinghamForest_LeedsUnited,Nottingham Forest,Leeds United,DraftKings Sportsbook,+120,+245,+210,0.4545,0.2899,0.3226,0.426,0.2717,0.3023,2026-08-19T00:00:00+00:00,ESPN (DraftKings Sportsbook),https://www.espn.com/soccer/scoreboard/_/league/eng.1/date/20260821,False,True,real_snapshot,2026-08-19,"Real single-source snapshot (manually entered, one-time capture on 2026-08-19, 2-3 days before kickoff -- not confirmed to be the literal closing line, since the season had not yet started at collection time). Source: ESPN odds pages (DraftKings Sportsbook), one page per fixture. De-vigged by normalizing the three raw implied probabilities to sum to 1.0."
EPL2627_MW01_006_Brentford_TottenhamHotspur,Brentford,Tottenham Hotspur,DraftKings Sportsbook,+145,+255,+170,0.4082,0.2817,0.3704,0.385,0.2657,0.3493,2026-08-19T00:00:00+00:00,ESPN (DraftKings Sportsbook),https://www.espn.com/soccer/scoreboard/_/league/eng.1/date/20260821,False,True,real_snapshot,2026-08-19,"Real single-source snapshot (manually entered, one-time capture on 2026-08-19, 2-3 days before kickoff -- not confirmed to be the literal closing line, since the season had not yet started at collection time). Source: ESPN odds pages (DraftKings Sportsbook), one page per fixture. De-vigged by normalizing the three raw implied probabilities to sum to 1.0."
EPL2627_MW01_007_Brighton&HoveAlbion_AstonVilla,Brighton & Hove Albion,Aston Villa,DraftKings Sportsbook,+120,+260,+200,0.4545,0.2778,0.3333,0.4265,0.2607,0.3128,2026-08-19T00:00:00+00:00,ESPN (DraftKings Sportsbook),https://www.espn.com/soccer/scoreboard/_/league/eng.1/date/20260821,False,True,real_snapshot,2026-08-19,"Real single-source snapshot (manually entered, one-time capture on 2026-08-19, 2-3 days before kickoff -- not confirmed to be the literal closing line, since the season had not yet started at collection time). Source: ESPN odds pages (DraftKings Sportsbook), one page per fixture. De-vigged by normalizing the three raw implied probabilities to sum to 1.0."
EPL2627_MW01_008_ManchesterCity_AFCBournemouth,Manchester City,AFC Bournemouth,DraftKings Sportsbook,-230,+400,+475,0.697,0.2,0.1739,0.6508,0.1868,0.1624,2026-08-19T00:00:00+00:00,ESPN (DraftKings Sportsbook),https://www.espn.com/soccer/scoreboard/_/league/eng.1/date/20260821,False,True,real_snapshot,2026-08-19,"Real single-source snapshot (manually entered, one-time capture on 2026-08-19, 2-3 days before kickoff -- not confirmed to be the literal closing line, since the season had not yet started at collection time). Source: ESPN odds pages (DraftKings Sportsbook), one page per fixture. De-vigged by normalizing the three raw implied probabilities to sum to 1.0."
EPL2627_MW01_009_NewcastleUnited_Liverpool,Newcastle United,Liverpool,DraftKings Sportsbook,+245,+270,-105,0.2899,0.2703,0.5122,0.2703,0.252,0.4777,2026-08-19T00:00:00+00:00,ESPN (DraftKings Sportsbook),https://www.espn.com/soccer/scoreboard/_/league/eng.1/date/20260821,False,True,real_snapshot,2026-08-19,"Real single-source snapshot (manually entered, one-time capture on 2026-08-19, 2-3 days before kickoff -- not confirmed to be the literal closing line, since the season had not yet started at collection time). Source: ESPN odds pages (DraftKings Sportsbook), one page per fixture. De-vigged by normalizing the three raw implied probabilities to sum to 1.0."
EPL2627_MW01_010_Fulham_Chelsea,Fulham,Chelsea,DraftKings Sportsbook,+260,+280,-105,0.2778,0.2632,0.5122,0.2638,0.2499,0.4864,2026-08-19T00:00:00+00:00,ESPN (DraftKings Sportsbook),https://www.espn.com/soccer/scoreboard/_/league/eng.1/date/20260821,False,True,real_snapshot,2026-08-19,"Real single-source snapshot (manually entered, one-time capture on 2026-08-19, 2-3 days before kickoff -- not confirmed to be the literal closing line, since the season had not yet started at collection time). Source: ESPN odds pages (DraftKings Sportsbook), one page per fixture. De-vigged by normalizing the three raw implied probabilities to sum to 1.0."
