season,match_id,date,home_team,away_team,home_goals,away_goals,result,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_ppda,away_ppda,home_big_chances,away_big_chances,home_set_piece_xg,away_set_piece_xg,home_red_cards,away_red_cards,referee,stadium,attendance,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
2026-27,LALIGA2627_MW01_001_DeportivoAlavés_GetafeCF,2026-08-15,Deportivo Alavés,Getafe CF,3,0,home_win,,,,,,,,,,,,,,,,,,Mendizorroza,,football-data.co.uk,,2026-09-16T07:19:48+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW01_009_SevillaFC_RayoVallecano,2026-08-15,Sevilla FC,Rayo Vallecano,2,1,home_win,,,,,,,,,,,,,,,,,,Ramón Sánchez-Pizjuán,,football-data.co.uk,,2026-09-16T07:19:48+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW01_007_R.RacingClub_VillarrealCF,2026-08-16,R. Racing Club,Villarreal CF,2,2,draw,,,,,,,,,,,,,,,,,,El Sardinero,,football-data.co.uk,,2026-09-16T07:19:48+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW01_005_RCDEspanyoldeBarcelona_LevanteUD,2026-08-16,RCD Espanyol de Barcelona,Levante UD,3,0,home_win,,,,,,,,,,,,,,,,,,RCDE Stadium,,football-data.co.uk,,2026-09-16T07:19:48+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW01_004_RCDeportivo_ElcheCF,2026-08-17,RC Deportivo,Elche CF,1,1,draw,,,,,,,,,,,,,,,,,,Estadio ABANCA-RIAZOR,,football-data.co.uk,,2026-09-16T07:19:48+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW01_002_AtléticodeMadrid_MálagaCF,2026-08-19,Atlético de Madrid,Málaga CF,2,0,home_win,,,,,,,,,,,,,,,,,,Riyadh Air Metropolitano,,football-data.co.uk,,2026-09-16T07:19:48+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW01_010_ValenciaCF_RealBetis,2026-08-25,Valencia CF,Real Betis,0,1,away_win,,,,,,,,,,,,,,,,,,Camp de Mestalla,,football-data.co.uk,,2026-09-16T07:19:48+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW01_008_RealMadrid_RealSociedad,2026-08-26,Real Madrid,Real Sociedad,4,1,home_win,,,,,,,,,,,,,,,,,,Bernabéu,,football-data.co.uk,,2026-09-16T07:19:48+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW01_003_CeltaVigo_CAOsasuna,2026-08-27,Celta Vigo,CA Osasuna,1,2,away_win,,,,,,,,,,,,,,,,,,Estadio ABANCA Balaídos,,football-data.co.uk,,2026-09-16T07:19:48+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW01_006_FCBarcelona_AthleticClub,2026-08-27,FC Barcelona,Athletic Club,2,0,home_win,,,,,,,,,,,,,,,,,,Spotify Camp Nou,,football-data.co.uk,,2026-09-16T07:19:48+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW02_019_RayoVallecano_DeportivoAlavés,2026-08-20,Rayo Vallecano,Deportivo Alavés,1,1,draw,,,,,,,,,,,,,,,,,,Estadio Ontime Butarque,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW02_013_RealBetis_RealSociedad,2026-08-21,Real Betis,Real Sociedad,1,0,home_win,,,,,,,,,,,,,,,,,,Estadio La Cartuja,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW02_011_AthleticClub_SevillaFC,2026-08-22,Athletic Club,Sevilla FC,1,3,away_win,,,,,,,,,,,,,,,,,,Estadio San Mamés,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW02_020_ValenciaCF_CeltaVigo,2026-08-22,Valencia CF,Celta Vigo,0,0,draw,,,,,,,,,,,,,,,,,,Camp de Mestalla,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW02_015_RCDEspanyoldeBarcelona_RealMadrid,2026-08-22,RCD Espanyol de Barcelona,Real Madrid,1,2,away_win,,,,,,,,,,,,,,,,,,RCDE Stadium,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LALIGA2627_MW02_012_AtléticodeMadrid_VillarrealCF,2026-08-23,Atlético de Madrid,Villarreal CF,2,2,draw,,,,,,,,,,,,,,,,,,Riyadh Air Metropolitano,,football-data.co.uk,,2026-09-16T07:27:26+00:00,True,completed,Locked by src/update_after_matchweek.py
