season,match_id,date,home_team,away_team,home_goals,away_goals,result,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_ppda,away_ppda,home_big_chances,away_big_chances,home_set_piece_xg,away_set_piece_xg,home_red_cards,away_red_cards,referee,stadium,attendance,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
2026-27,LIGUE12627_MW01_005_OlympiquedeMarseille_RCStrasbourgAlsace,2026-08-21,Olympique de Marseille,RC Strasbourg Alsace,4,0,home_win,,,,,,,,,,,,,,,,,,Stade Vélodrome,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW01_004_RCLens_AJAuxerre,2026-08-22,RC Lens,AJ Auxerre,5,2,home_win,,,,,,,,,,,,,,,,,,Stade Bollaert-Delelis,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW01_003_LeMansFC_StadeBrestois29,2026-08-22,Le Mans FC,Stade Brestois 29,2,2,draw,,,,,,,,,,,,,,,,,,Stade Marie-Marvingt,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW01_006_OGCNice_FCLorient,2026-08-22,OGC Nice,FC Lorient,0,0,draw,,,,,,,,,,,,,,,,,,Allianz Riviera,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW01_008_ToulouseFC_OlympiqueLyonnais,2026-08-22,Toulouse FC,Olympique Lyonnais,0,2,away_win,,,,,,,,,,,,,,,,,,Stadium de Toulouse,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW01_009_EstacTroyes_ParisFC,2026-08-22,Estac Troyes,Paris FC,0,0,draw,,,,,,,,,,,,,,,,,,Stade de l'Aube,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW01_001_AngersSCO_LOSCLille,2026-08-23,Angers SCO,LOSC Lille,0,2,away_win,,,,,,,,,,,,,,,,,,Stade Raymond Kopa,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW01_002_HavreAthleticClub_ASMonaco,2026-08-23,Havre Athletic Club,AS Monaco,0,1,away_win,,,,,,,,,,,,,,,,,,Stade Océane,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW01_007_StadeRennaisFC_ParisSaint-Germain,2026-08-23,Stade Rennais FC,Paris Saint-Germain,2,2,draw,,,,,,,,,,,,,,,,,,Roazhon Park,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW02_012_LOSCLille_ParisSaint-Germain,2026-08-28,LOSC Lille,Paris Saint-Germain,2,2,draw,,,,,,,,,,,,,,,,,,Stade Pierre-Mauroy,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW02_018_RCStrasbourgAlsace_RCLens,2026-08-29,RC Strasbourg Alsace,RC Lens,2,1,home_win,,,,,,,,,,,,,,,,,,Stade de la Meinau,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW02_010_AJAuxerre_AngersSCO,2026-08-29,AJ Auxerre,Angers SCO,1,3,away_win,,,,,,,,,,,,,,,,,,Stade de l'Abbé-Deschamps,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW02_011_StadeBrestois29_ToulouseFC,2026-08-29,Stade Brestois 29,Toulouse FC,2,2,draw,,,,,,,,,,,,,,,,,,Stade Francis-Le Blé,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW02_013_FCLorient_EstacTroyes,2026-08-29,FC Lorient,Estac Troyes,1,2,away_win,,,,,,,,,,,,,,,,,,Stade du Moustoir,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW02_014_OlympiqueLyonnais_HavreAthleticClub,2026-08-29,Olympique Lyonnais,Havre Athletic Club,1,1,draw,,,,,,,,,,,,,,,,,,Parc Olympique Lyonnais,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW02_016_ParisFC_OGCNice,2026-08-30,Paris FC,OGC Nice,3,0,home_win,,,,,,,,,,,,,,,,,,Stade Jean-Bouin,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,LIGUE12627_MW02_017_StadeRennaisFC_LeMansFC,2026-08-30,Stade Rennais FC,Le Mans FC,3,2,home_win,,,,,,,,,,,,,,,,,,Roazhon Park,,fixturedownload.com,,2026-09-16T00:00:00+00:00,True,completed,Locked by src/update_after_matchweek.py
