season,match_id,date,home_team,away_team,home_goals,away_goals,result,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_ppda,away_ppda,home_big_chances,away_big_chances,home_set_piece_xg,away_set_piece_xg,home_red_cards,away_red_cards,referee,stadium,attendance,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
2014-15,LIGUE1HIST_1415_001_Reims_ParisSaint-Germain,2014-08-08,Reims,Paris Saint-Germain,2,2,draw,,,9,16,3,6,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_002_Bastia_OlympiquedeMarseille,2014-08-09,Bastia,Olympique de Marseille,3,3,draw,,,13,9,4,4,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_003_EvianThononGaillard_Caen,2014-08-09,Evian Thonon Gaillard,Caen,0,3,away_win,,,10,12,2,7,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_004_Guingamp_StEtienne,2014-08-09,Guingamp,St Etienne,0,2,away_win,,,6,7,3,2,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_005_LOSCLille_Metz,2014-08-09,LOSC Lille,Metz,0,0,draw,,,14,2,3,1,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_006_Montpellier_Bordeaux,2014-08-09,Montpellier,Bordeaux,0,1,away_win,,,15,7,3,3,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_007_Nantes_RCLens,2014-08-09,Nantes,RC Lens,1,0,home_win,,,14,5,4,2,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_008_OGCNice_ToulouseFC,2014-08-09,OGC Nice,Toulouse FC,3,2,home_win,,,22,11,8,3,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_009_OlympiqueLyonnais_StadeRennaisFC,2014-08-10,Olympique Lyonnais,Stade Rennais FC,2,0,home_win,,,19,7,6,1,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_010_ASMonaco_FCLorient,2014-08-10,AS Monaco,FC Lorient,1,2,away_win,,,12,9,7,3,,,,,,,,,1,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_011_Caen_LOSCLille,2014-08-15,Caen,LOSC Lille,0,1,away_win,,,11,8,3,1,,,,,,,,,1,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_012_RCLens_Guingamp,2014-08-16,RC Lens,Guingamp,0,1,away_win,,,14,10,4,4,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_013_FCLorient_OGCNice,2014-08-16,FC Lorient,OGC Nice,0,0,draw,,,13,9,6,2,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_014_Metz_Nantes,2014-08-16,Metz,Nantes,1,1,draw,,,12,6,5,2,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_015_ParisSaint-Germain_Bastia,2014-08-16,Paris Saint-Germain,Bastia,2,0,home_win,,,15,5,5,1,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,LIGUE1HIST_1415_016_StadeRennaisFC_EvianThononGaillard,2014-08-16,Stade Rennais FC,Evian Thonon Gaillard,6,2,home_win,,,9,9,7,3,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/F1.csv,2026-09-16T20:27:13+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
