match_id,season,matchweek,group,date,kickoff_utc,home_team,away_team,stadium,status,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
UNL2627_MD01_079_Andorra_Malta,2026-27,1,Group D1,2026-09-24,2026-09-24T16:00:00+00:00,Andorra,Malta,Estadi FAF,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_080_Portugal_Wales,2026-27,1,Group A4,2026-09-24,2026-09-24T18:45:00+00:00,Portugal,Wales,Estádio José Alvalade,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_081_Netherlands_Germany,2026-27,1,Group A2,2026-09-24,2026-09-24T18:45:00+00:00,Netherlands,Germany,Johan Cruijff ArenA,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_082_Serbia_Greece,2026-27,1,Group A2,2026-09-24,2026-09-24T18:45:00+00:00,Serbia,Greece,Stadion Rajko Mitic,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_083_Norway_Denmark,2026-27,1,Group A4,2026-09-24,2026-09-24T18:45:00+00:00,Norway,Denmark,Ullevaal Stadion,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_084_Austria_Israel,2026-27,1,Group B3,2026-09-24,2026-09-24T18:45:00+00:00,Austria,Israel,Oberösterreich Arena,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_085_Kosovo_RepublicofIreland,2026-27,1,Group B3,2026-09-24,2026-09-24T18:45:00+00:00,Kosovo,Republic of Ireland,Stadiumi Fadil Vokrri,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_086_Liechtenstein_Lithuania,2026-27,1,Group D2,2026-09-24,2026-09-24T18:45:00+00:00,Liechtenstein,Lithuania,Rheinpark Stadion,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_087_Georgia_NorthernIreland,2026-27,1,Group B2,2026-09-25,2026-09-25T16:00:00+00:00,Georgia,Northern Ireland,Boris Paichadze National Stadium Dinamo Arena,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_088_Armenia_Latvia,2026-27,1,Group C2,2026-09-25,2026-09-25T16:00:00+00:00,Armenia,Latvia,Republican Stadium after Vazgen Sargsyan,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_089_Italy_Belgium,2026-27,1,Group A1,2026-09-25,2026-09-25T18:45:00+00:00,Italy,Belgium,Stadio Olimpico,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_090_Türkiye_France,2026-27,1,Group A1,2026-09-25,2026-09-25T18:45:00+00:00,Türkiye,France,Kocaeli Stadium,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_091_Hungary_Ukraine,2026-27,1,Group B2,2026-09-25,2026-09-25T18:45:00+00:00,Hungary,Ukraine,Puskás Aréna,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_092_Poland_BosniaandHerzegovina,2026-27,1,Group B4,2026-09-25,2026-09-25T18:45:00+00:00,Poland,Bosnia and Herzegovina,Stadion Narodowy,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_093_Sweden_Romania,2026-27,1,Group B4,2026-09-25,2026-09-25T18:45:00+00:00,Sweden,Romania,Strawberry Arena,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_094_Montenegro_Cyprus,2026-27,1,Group C2,2026-09-25,2026-09-25T18:45:00+00:00,Montenegro,Cyprus,Gradski Stadion Podgorica,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_095_Slovenia_Scotland,2026-27,1,Group B1,2026-09-26,2026-09-26T13:00:00+00:00,Slovenia,Scotland,Stadion Stožice,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_096_Iceland_Estonia,2026-27,1,Group C4,2026-09-26,2026-09-26T16:00:00+00:00,Iceland,Estonia,Laugardalsvöllur,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_097_FaroeIslands_Kazakhstan,2026-27,1,Group C3,2026-09-26,2026-09-26T16:00:00+00:00,Faroe Islands,Kazakhstan,Tórsvøllur,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_098_SanMarino_Finland,2026-27,1,Group C1,2026-09-26,2026-09-26T16:00:00+00:00,San Marino,Finland,San Marino Stadium,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_099_Bulgaria_Luxembourg,2026-27,1,Group C4,2026-09-26,2026-09-26T16:00:00+00:00,Bulgaria,Luxembourg,Hristo Botev Stadium,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_100_England_Spain,2026-27,1,Group A3,2026-09-26,2026-09-26T18:45:00+00:00,England,Spain,Wembley Stadium,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_101_Albania_Belarus,2026-27,1,Group C1,2026-09-26,2026-09-26T18:45:00+00:00,Albania,Belarus,Arena Kombëtare,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_102_Slovakia_Moldova,2026-27,1,Group C3,2026-09-26,2026-09-26T18:45:00+00:00,Slovakia,Moldova,Tatran,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_103_NorthMacedonia_Switzerland,2026-27,1,Group B1,2026-09-26,2026-09-26T18:45:00+00:00,North Macedonia,Switzerland,National Arena Todor Proeski ,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD01_104_Czechia_Croatia,2026-27,1,Group A3,2026-09-26,2026-09-26T18:45:00+00:00,Czechia,Croatia,Eden Arena,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD02_105_Lithuania_Azerbaijan,2026-27,2,Group D2,2026-09-27,2026-09-27T13:00:00+00:00,Lithuania,Azerbaijan,Dariaus ir Gireno Stadionas,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD02_106_Denmark_Wales,2026-27,2,Group A4,2026-09-27,2026-09-27T16:00:00+00:00,Denmark,Wales,Parken,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD02_107_Austria_Kosovo,2026-27,2,Group B3,2026-09-27,2026-09-27T16:00:00+00:00,Austria,Kosovo,Ernst-Happel-Stadion,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
UNL2627_MD02_108_Gibraltar_Andorra,2026-27,2,Group D1,2026-09-27,2026-09-27T16:00:00+00:00,Gibraltar,Andorra,Europa Point Stadium,scheduled,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2026,2026-09-20T23:11:23+00:00,True,scheduled_provisional,Kickoff time reflects originally-published scheduling. Groups of 3-4 teams -- not a full round-robin across all 54 teams (see module docstring).
