season,match_id,date,home_team,away_team,group,home_goals,away_goals,result,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_ppda,away_ppda,home_big_chances,away_big_chances,home_set_piece_xg,away_set_piece_xg,home_red_cards,away_red_cards,referee,stadium,attendance,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
2024-25,UNL2425_MD01_001_Azerbaijan_Sweden,2024-09-05,Azerbaijan,Sweden,Group C1,1,3,away_win,,,,,,,,,,,,,,,,,,Tofiq Bahramov Republican Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD01_002_SanMarino_Liechtenstein,2024-09-05,San Marino,Liechtenstein,Group D1,1,0,home_win,,,,,,,,,,,,,,,,,,San Marino Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD01_003_NorthernIreland_Luxembourg,2024-09-05,Northern Ireland,Luxembourg,Group C3,2,0,home_win,,,,,,,,,,,,,,,,,,Windsor Park,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD01_004_Portugal_Croatia,2024-09-05,Portugal,Croatia,Group A1,2,1,home_win,,,,,,,,,,,,,,,,,,Estádio do SL Benfica,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD01_005_Denmark_Switzerland,2024-09-05,Denmark,Switzerland,Group A4,2,0,home_win,,,,,,,,,,,,,,,,,,Parken,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD01_006_Scotland_Poland,2024-09-05,Scotland,Poland,Group A1,2,3,away_win,,,,,,,,,,,,,,,,,,Hampden Park,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD01_007_Estonia_Slovakia,2024-09-05,Estonia,Slovakia,Group C1,0,1,away_win,,,,,,,,,,,,,,,,,,Lilleküla Stadium,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD01_008_Serbia_Spain,2024-09-05,Serbia,Spain,Group A4,0,0,draw,,,,,,,,,,,,,,,,,,Stadion Rajko Mitic,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD01_009_Belarus_Bulgaria,2024-09-05,Belarus,Bulgaria,Group C3,0,0,draw,,,,,,,,,,,,,,,,,,ZTE Aréna,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
2024-25,UNL2425_MD01_010_Kazakhstan_Norway,2024-09-06,Kazakhstan,Norway,Group B3,0,0,draw,,,,,,,,,,,,,,,,,,Almaty Ortalyk Stadion,,fixturedownload.com,https://fixturedownload.com/feed/json/nations-league-2024,2026-09-20T23:17:25+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), referee, and attendance are not published by fixturedownload.com and are intentionally left blank rather than estimated."
