season,match_id,date,home_team,away_team,home_goals,away_goals,result,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_ppda,away_ppda,home_big_chances,away_big_chances,home_set_piece_xg,away_set_piece_xg,home_red_cards,away_red_cards,referee,stadium,attendance,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
2026-27,SERIEA2627_MW01_005_Internazionale_Monza,2026-08-22,Internazionale,Monza,4,1,home_win,,,,,,,,,,,,,,,,,,Giuseppe Meazza,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW01_009_Udinese_Como,2026-08-22,Udinese,Como,1,1,draw,,,,,,,,,,,,,,,,,,Friuli/Bluenergy stadium,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW01_004_Genoa_Napoli,2026-08-22,Genoa,Napoli,0,2,away_win,,,,,,,,,,,,,,,,,,Luigi Ferraris,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW01_006_Parma_Cagliari,2026-08-22,Parma,Cagliari,0,1,away_win,,,,,,,,,,,,,,,,,,Ennio Tardini,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW01_003_Frosinone_Juventus,2026-08-23,Frosinone,Juventus,0,1,away_win,,,,,,,,,,,,,,,,,,Benito Stirpe,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW01_010_Venezia_Lecce,2026-08-23,Venezia,Lecce,0,2,away_win,,,,,,,,,,,,,,,,,,Pier Luigi Penzo,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW01_001_Atalanta_Sassuolo,2026-08-23,Atalanta,Sassuolo,2,1,home_win,,,,,,,,,,,,,,,,,,New Balance Arena,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW01_008_Torino_Milan,2026-08-23,Torino,Milan,1,2,away_win,,,,,,,,,,,,,,,,,,Olimpico - Grande Torino,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW01_002_Bologna_Lazio,2026-08-24,Bologna,Lazio,0,1,away_win,,,,,,,,,,,,,,,,,,Renato Dall'Ara,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW01_007_Roma_Fiorentina,2026-08-24,Roma,Fiorentina,4,0,home_win,,,,,,,,,,,,,,,,,,Olimpico,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW02_017_Milan_Venezia,2026-08-28,Milan,Venezia,2,0,home_win,,,,,,,,,,,,,,,,,,Giuseppe Meazza,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW02_013_Fiorentina_Frosinone,2026-08-29,Fiorentina,Frosinone,0,3,away_win,,,,,,,,,,,,,,,,,,Artemio Franchi,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW02_018_Monza_Udinese,2026-08-29,Monza,Udinese,2,3,away_win,,,,,,,,,,,,,,,,,,Brianteo,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW02_020_Sassuolo_Torino,2026-08-29,Sassuolo,Torino,2,1,home_win,,,,,,,,,,,,,,,,,,Mapei Stadium,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW02_014_Juventus_Parma,2026-08-29,Juventus,Parma,2,0,home_win,,,,,,,,,,,,,,,,,,Allianz Stadium,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW02_019_Napoli_Como,2026-08-30,Napoli,Como,1,2,away_win,,,,,,,,,,,,,,,,,,Diego Armando Maradona,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
2026-27,SERIEA2627_MW02_012_Cagliari_Internazionale,2026-08-30,Cagliari,Internazionale,0,1,away_win,,,,,,,,,,,,,,,,,,Unipol Domus,,football-data.co.uk,,2026-09-16T19:10:14+00:00,True,completed,Locked by src/update_after_matchweek.py
