season,match_id,date,home_team,away_team,home_goals,away_goals,result,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_ppda,away_ppda,home_big_chances,away_big_chances,home_set_piece_xg,away_set_piece_xg,home_red_cards,away_red_cards,referee,stadium,attendance,source_name,source_url_or_page_title,source_timestamp,is_real_data,data_status,notes
2014-15,SERIEAHIST_1415_001_Chievo_Juventus,2014-08-30,Chievo,Juventus,0,1,away_win,,,7,21,2,3,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/I1.csv,2026-09-16T18:51:32+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,SERIEAHIST_1415_002_Roma_Fiorentina,2014-08-30,Roma,Fiorentina,2,0,home_win,,,20,10,5,4,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/I1.csv,2026-09-16T18:51:32+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,SERIEAHIST_1415_003_Atalanta_Verona,2014-08-31,Atalanta,Verona,0,0,draw,,,11,9,1,3,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/I1.csv,2026-09-16T18:51:32+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,SERIEAHIST_1415_004_Cesena_Parma,2014-08-31,Cesena,Parma,1,0,home_win,,,9,12,5,1,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/I1.csv,2026-09-16T18:51:32+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,SERIEAHIST_1415_005_Genoa_Napoli,2014-08-31,Genoa,Napoli,1,2,away_win,,,11,15,5,5,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/I1.csv,2026-09-16T18:51:32+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,SERIEAHIST_1415_006_Milan_Lazio,2014-08-31,Milan,Lazio,3,1,home_win,,,7,19,4,4,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/I1.csv,2026-09-16T18:51:32+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,SERIEAHIST_1415_007_Palermo_Sampdoria,2014-08-31,Palermo,Sampdoria,1,1,draw,,,8,10,1,3,,,,,,,,,0,1,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/I1.csv,2026-09-16T18:51:32+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,SERIEAHIST_1415_008_Sassuolo_Cagliari,2014-08-31,Sassuolo,Cagliari,1,1,draw,,,13,10,5,4,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/I1.csv,2026-09-16T18:51:32+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,SERIEAHIST_1415_009_Torino_Internazionale,2014-08-31,Torino,Internazionale,0,0,draw,,,11,14,2,2,,,,,,,,,0,1,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/I1.csv,2026-09-16T18:51:32+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
2014-15,SERIEAHIST_1415_010_Udinese_Empoli,2014-08-31,Udinese,Empoli,2,0,home_win,,,15,13,5,2,,,,,,,,,0,0,,,,football-data.co.uk,https://www.football-data.co.uk/mmz4281/1415/I1.csv,2026-09-16T18:51:32+00:00,True,completed,"Advanced metrics (xG, possession, PPDA, big_chances, set_piece_xg), stadium, and attendance are not published by football-data.co.uk and are intentionally left blank rather than estimated."
