run_id,model_name,model_version,data_version,feature_version,metrics,hyperparameters,git_commit_if_available,generated_at,notes
backtest_20260817T230831Z_d584f8f7,Dixon-Coles (main model),0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,"{""Dixon-Coles (main model)"": 0.9856, ""Elo-only baseline"": 0.9977, ""Previous-season-table baseline"": 1.21, ""Simple Poisson baseline"": 1.0178}",{},no_commit_yet,2026-08-17T23:08:31+00:00,log_loss=0.9856
backtest_20260817T230831Z_d584f8f7,Elo-only baseline,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,"{""Dixon-Coles (main model)"": 0.9856, ""Elo-only baseline"": 0.9977, ""Previous-season-table baseline"": 1.21, ""Simple Poisson baseline"": 1.0178}",{},no_commit_yet,2026-08-17T23:08:31+00:00,log_loss=0.9977
backtest_20260817T230831Z_d584f8f7,Previous-season-table baseline,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,"{""Dixon-Coles (main model)"": 0.9856, ""Elo-only baseline"": 0.9977, ""Previous-season-table baseline"": 1.21, ""Simple Poisson baseline"": 1.0178}",{},no_commit_yet,2026-08-17T23:08:31+00:00,log_loss=1.21
backtest_20260817T230831Z_d584f8f7,Simple Poisson baseline,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,"{""Dixon-Coles (main model)"": 0.9856, ""Elo-only baseline"": 0.9977, ""Previous-season-table baseline"": 1.21, ""Simple Poisson baseline"": 1.0178}",{},no_commit_yet,2026-08-17T23:08:31+00:00,log_loss=1.0178
backtest_20260817T234857Z_67144fb1,Dixon-Coles (main model),0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,"{""Dixon-Coles (main model)"": 0.9865, ""Elo-only baseline"": 0.9931, ""Previous-season-table baseline"": 1.21, ""Simple Poisson baseline"": 1.0178}",{},4db36b6,2026-08-17T23:48:57+00:00,log_loss=0.9865
backtest_20260817T234857Z_67144fb1,Elo-only baseline,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,"{""Dixon-Coles (main model)"": 0.9865, ""Elo-only baseline"": 0.9931, ""Previous-season-table baseline"": 1.21, ""Simple Poisson baseline"": 1.0178}",{},4db36b6,2026-08-17T23:48:57+00:00,log_loss=0.9931
backtest_20260817T234857Z_67144fb1,Previous-season-table baseline,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,"{""Dixon-Coles (main model)"": 0.9865, ""Elo-only baseline"": 0.9931, ""Previous-season-table baseline"": 1.21, ""Simple Poisson baseline"": 1.0178}",{},4db36b6,2026-08-17T23:48:57+00:00,log_loss=1.21
backtest_20260817T234857Z_67144fb1,Simple Poisson baseline,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,"{""Dixon-Coles (main model)"": 0.9865, ""Elo-only baseline"": 0.9931, ""Previous-season-table baseline"": 1.21, ""Simple Poisson baseline"": 1.0178}",{},4db36b6,2026-08-17T23:48:57+00:00,log_loss=1.0178
ensemble_20260818T022037Z_d7c86828,stacked_ensemble_logreg,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,"{""ensemble_log_loss"": 0.9833859742674818, ""ensemble_brier"": 0.585306735738435, ""ensemble_rps"": 0.2030519642218267, ""dc_log_loss"": 0.9865368037056392, ""dc_brier"": 0.5864230436691991, ""dc_rps"": 0.20351385662048616}","{""n_folds"": 5, ""meta_C"": 1.0}",7bb6f3e,2026-08-18T02:20:37+00:00,"{""ensemble_log_loss"": 0.9833859742674818, ""ensemble_brier"": 0.585306735738435, ""ensemble_rps"": 0.2030519642218267, ""dc_log_loss"": 0.9865368037056392, ""dc_brier"": 0.5864230436691991, ""dc_rps"": 0.20351385662048616}"
ensemble_20260818T030032Z_e2fc53da,stacked_ensemble_logreg,0.1.0-phase1,2026-08-18.phase1,0.1.0-phase1,"{""ensemble_log_loss"": 0.9833859742674818, ""ensemble_brier"": 0.585306735738435, ""ensemble_rps"": 0.2030519642218267, ""dc_log_loss"": 0.9865368037056392, ""dc_brier"": 0.5864230436691991, ""dc_rps"": 0.20351385662048616}","{""n_folds"": 5, ""meta_C"": 1.0, ""n_bootstrap"": 10000}",c99be24,2026-08-18T03:00:32+00:00,"{""ensemble_log_loss"": 0.9833859742674818, ""ensemble_brier"": 0.585306735738435, ""ensemble_rps"": 0.2030519642218267, ""dc_log_loss"": 0.9865368037056392, ""dc_brier"": 0.5864230436691991, ""dc_rps"": 0.20351385662048616}"
